country,implicit,plot,field_pair,carbon_intensity,treatment,WC,BD,VWC,WHC ,reduction,SOC,TOC,IOC
ES,ES-3L-R,17,3,L,R,7.58,1.53,11.6,27,0.28,0.55,7.34,6.79
ES,ES-3L-RC,18,3,L,RC,8.97,1.55,13.9,26.15,0.34,0.48,8.11,7.64
ES,ES-4H-C,19,4,H,C,7.78,1.44,11.2,31.73,0.25,0.65,7.09,6.45
ES,ES-4H-R,20,4,H,R,7.77,1.36,10.57,33.86,0.23,0.8,7.45,6.65
ES,ES-4H-RC,21,4,H,RC,8.28,1.35,11.18,35.89,0.23,0.67,6.73,6.06
ES,ES-4L-C,22,4,L,C,10.04,1.51,15.16,28.38,0.35,0.57,7.71,7.15
ES,ES-4L-R,23,4,L,R,8.49,1.36,11.55,35.62,0.24,0.35,7.88,7.53
ES,ES-4L-RC,24,4,L,RC,8.41,1.49,12.53,30.54,0.28,0.76,7.57,6.81
ES,ES-5H-C,25,5,H,C,8.62,1.28,11.03,38.52,0.22,1.14,6.94,5.8
ES,ES-5H-R,26,5,H,R,9.14,1.41,12.89,32.25,0.28,0.91,7.8,6.89
ES,ES-5H-RC,27,5,H,RC,11.06,1.35,14.93,34.63,0.32,0.97,7.07,6.1
ES,ES-5L-C,28,5,L,C,10.78,1.38,14.88,32.79,0.33,0.67,8.5,7.83
ES,ES-5L-R,29,5,L,R,7.93,1.37,10.86,32.24,0.25,0.78,9.21,8.43
ES,ES-5L-RC,30,5,L,RC,7.66,1.46,11.18,28.51,0.27,0.79,8.82,8.03
