sample_ID,country,field_pair,carbon_intensity,treatment,pH ,WC,VWC,total N,total C,organic C,inorganic C ,PO4_P,total P,soil_respiration,Nmin,total_sand,total_silt,total_clay,WHC,BD ,root DW,crop biomass,plant height
ES20_T2,ES,4,H,R,8.73,7.77,10.57,0.04,7.45,0.8,6.65,0.001,0.32,0.42,1.41,48.9,33.15,17.95,33.86,1.36,38.27,2.5,43.38
ES21_T2,ES,4,H,RC,8.57,8.28,11.18,0.06,6.73,0.67,6.06,0.001,0.41,0.5,1.2,48.9,33.15,17.95,35.89,1.35,52.19,2.1,43.6
ES22_T2,ES,4,L,C,8.7,10.04,15.16,0.04,7.71,0.57,7.15,0.001,0.29,0.44,2.01,46.39,32.23,21.38,28.38,1.51,36.17,0.8,28.83
ES23_T2,ES,4,L,R,8.61,8.49,11.55,0.04,7.88,0.35,7.53,0.001,0.29,0.42,1.65,46.39,32.23,21.38,35.62,1.36,42.1,0.9,31.18
ES24_T2,ES,4,L,RC,8.52,8.41,12.53,0.04,7.57,0.76,6.81,0.001,0.33,0.49,1.47,46.39,32.23,21.38,30.54,1.49,42.78,2.2,43.68
ES25_T2,ES,5,H,C,8.65,8.62,11.03,0.03,6.94,1.14,5.8,0.001,0.39,0.5,1.07,41.82,35.75,22.43,38.52,1.28,91.26,3,35.5
ES26_T2,ES,5,H,R,8.67,9.14,12.89,0.04,7.8,0.91,6.89,0.001,0.39,0.45,3.74,41.82,35.75,22.43,32.25,1.41,70.57,0.7,26.55
ES27_T2,ES,5,H,RC,8.62,11.06,14.93,0.03,7.07,0.97,6.1,0.001,0.45,0.5,2.08,41.82,35.75,22.43,34.63,1.35,64.66,1.5,39.83
ES28_T2,ES,5,L,C,8.93,10.78,14.88,0.06,8.5,0.67,7.83,0.001,0.18,0.35,1.84,60.57,23.8,15.62,32.79,1.38,24.18,0.4,14.1
ES29_T2,ES,5,L,R,8.64,7.93,10.86,0.05,9.21,0.78,8.43,0.001,0.27,0.33,2.75,60.57,23.8,15.62,32.24,1.37,85.07,0.7,27.75
ES30_T2,ES,5,L,RC,8.72,7.66,11.18,0.06,8.82,0.79,8.03,0.001,0.21,0.36,1.99,60.57,23.8,15.62,28.51,1.46,22.04,0.5,19.88
SE1_T2,SE,1,H,C,6.49,8.41,12.03,0.21,2.03,1.96,0.07,0.001,0.61,0.3,45.85,54.11,21.29,24.59,29.11,1.43,435.67,8.2,40.38
SE2_T2,SE,1,H,R,6.54,7.51,10.75,0.23,2.3,2.24,0.06,0.001,0.74,0.31,63.32,54.11,21.29,24.59,29.11,1.43,457.32,10.4,63
SE3_T2,SE,1,H,RC,6.72,5.83,8.34,0.2,2.04,2.03,0,0.001,0.63,0.2,31.65,54.11,21.29,24.59,29.11,1.43,323.57,10.6,45.88
SE4_T2,SE,1,L,C,7.05,7.14,10.46,0.15,1.42,1.4,0.02,0.001,0.65,0.3,54.51,52,23.75,24.25,21.13,1.46,377.07,13.6,45.38
SE5_T2,SE,1,L,R,6.99,5.03,7.37,0.15,1.47,1.45,0.02,0.002,0.63,0.21,56.91,52,23.75,24.25,21.13,1.46,326.11,12.7,44.63
SE6_T2,SE,1,L,RC,6.9,6.5,9.52,0.16,1.5,1.46,0.04,0.002,0.64,0.21,27.73,52,23.75,24.25,21.13,1.46,252.23,6.9,29.63
SE7_T2,SE,2,H,C,5.8,11.09,14.97,0.23,2.34,2.33,0.01,0.001,1.25,0.37,48.59,55.34,27.11,17.56,33.09,1.35,371.97,7.8,54.75
SE8_T2,SE,2,H,R,5.99,6.33,8.54,0.2,2.17,2.16,0.01,0.001,0.85,0.33,20.78,55.34,27.11,17.56,33.09,1.35,224.2,5.9,56.25
SE9_T2,SE,2,H,RC,6.19,7.28,9.82,0.24,2.31,2.3,0.01,0.001,1.18,0.35,48.46,55.34,27.11,17.56,33.09,1.35,323.57,10.2,58.75
SE10_T2,SE,2,L,C,6.24,8.83,11.53,0.17,1.72,1.71,0.02,0.001,0.88,0.44,24.26,56.38,27.78,15.84,34.67,1.31,249.68,9,54
SE11_T2,SE,2,L,R,5.95,4.94,6.45,0.17,1.73,1.72,0.01,0.001,0.81,0.27,31.85,56.38,27.78,15.84,34.67,1.31,335.03,8.9,59.75
SE12_T2,SE,2,L,RC,6.13,6.35,8.29,0.18,1.83,1.82,0.01,0.001,0.83,0.31,32.26,56.38,27.78,15.84,34.67,1.31,166.88,9.2,62.13
SE13_T2,SE,3,H,C,7.87,9.59,12.91,0.25,3.07,2.52,0.55,0.001,0.88,0.87,16.43,47.23,41.32,11.45,33.68,1.35,298.09,11,51
SE14_T2,SE,3,H,R,7.79,10.58,14.24,0.41,5.71,4.22,1.49,0.001,1.08,1.04,10.96,47.23,41.32,11.45,33.68,1.35,219.11,8.6,49.5
SE15_T2,SE,3,H,RC,7.64,10.79,14.52,0.34,4.57,3.46,1.11,0.001,1.04,1.03,26.84,47.23,41.32,11.45,33.68,1.35,434.39,11.8,65.75
SE16_T2,SE,3,L,C,7.41,8.13,13.15,0.15,1.46,1.39,0.07,0.001,0.58,0.37,5.27,56.88,18.71,24.41,22.69,1.62,639.49,11.9,50.75
SE17_T2,SE,3,L,R,7.38,5.78,9.35,0.16,1.47,1.45,0.02,0.001,0.61,0.25,4.86,56.88,18.71,24.41,22.69,1.62,322.29,7.8,42
SE18_T2,SE,3,L,RC,7.33,6.68,10.8,0.15,1.43,1.4,0.02,0.001,0.72,0.26,7.08,56.88,18.71,24.41,22.69,1.62,240.76,9.9,56.25
SE19_T2,SE,4,H,C,7.05,12.01,14.46,0.23,2.62,2.58,0.04,0.001,0.79,0.72,28.07,71.95,14.72,13.34,39.79,1.2,272.61,9.7,52
SE20_T2,SE,4,H,R,7.06,6.34,7.63,0.22,2.63,2.6,0.04,0.001,0.74,0.43,28.71,71.95,14.72,13.34,39.79,1.2,208.92,10.5,54.38
SE21_T2,SE,4,H,RC,7.15,7.88,9.49,0.21,2.59,2.55,0.04,0.001,0.84,0.64,8.75,71.95,14.72,13.34,39.79,1.2,278.98,6.7,57.25
SE22_T2,SE,4,L,C,7.22,11.64,14.13,0.19,2.06,2.02,0.04,0.002,1.1,0.91,15.58,59.51,21.82,18.67,36.74,1.21,507.01,9.3,64.13
SE23_T2,SE,4,L,R,7.23,5.77,7,0.2,2.09,2.03,0.06,0.002,1.09,0.45,21.88,59.51,21.82,18.67,36.74,1.21,307.01,8.6,52.63
SE24_T2,SE,4,L,RC,7.2,8.06,9.78,0.17,1.89,1.84,0.05,0.002,1.1,0.74,18.63,59.51,21.82,18.67,36.74,1.21,419.11,8.6,54
SE25_T2,SE,5,H,C,7.52,10.59,13.71,0.21,2.14,2.11,0.02,0.001,0.83,0.52,106.32,9.18,46.77,44.05,37.87,1.29,463.69,3.1,10.75
SE26_T2,SE,5,H,R,6.62,10.24,13.26,0.21,2.05,2.03,0.02,0.001,0.67,0.39,47.46,9.18,46.77,44.05,37.87,1.29,315.92,6.3,41.5
SE27_T2,SE,5,H,RC,6.29,12.04,15.59,0.18,1.88,1.71,0.16,0.001,0.52,1.19,21.07,9.18,46.77,44.05,37.87,1.29,434.39,9.9,52
SE28_T2,SE,5,L,C,6.22,6.14,7.4,0.13,1.33,1.32,0.01,0.001,0.6,0.49,28.15,58.56,25.88,15.56,38.91,1.2,419.11,10.4,57.75
SE29_T2,SE,5,L,R,6.13,5.17,6.23,0.13,1.36,1.34,0.02,0.002,0.64,0.4,66.31,58.56,25.88,15.56,38.91,1.2,355.41,10,55.75
SE30_T2,SE,5,L,RC,6.39,5.52,6.65,0.14,1.46,1.45,0.01,0.001,0.63,0.34,31.87,58.56,25.88,15.56,38.91,1.2,504.46,9.5,55
