otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
otu827,Bacteria,Cyanobacteria,Unclassified.Synechococcales,Synechococcales,Pseudanabaenaceae,Pseudanabaena,Unclassified.Pseudanabaena
otu828,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas suwonensis
otu829,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatirosa,Unclassified.Gemmatirosa
otu830,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter gangjinensis
otu831,Bacteria,Cyanobacteria,Unclassified.Chroococcales,Chroococcales,Aphanothecaceae,Rippkaea,Unclassified.Rippkaea
otu832,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Metalysinibacillus,Unclassified.Metalysinibacillus
otu833,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter insolitus
otu834,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Ilumatobacteraceae,Ilumatobacter,Unclassified.Ilumatobacter
otu835,Bacteria,Unclassified.uncultured marine bacterium 159,Unclassified.uncultured marine bacterium 159,Unclassified.uncultured marine bacterium 159,Unclassified.uncultured marine bacterium 159,Unclassified.uncultured marine bacterium 159,Unclassified.uncultured marine bacterium 159
otu836,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Janthinobacterium sp. 1_2014MBL_MicDiv
otu837,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,Unclassified.Hippea
otu838,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera sp. MZ1T
otu839,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium pygmaeum
otu840,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Parvibaculum,Unclassified.Parvibaculum
otu841,Bacteria,Actinobacteria,Actinobacteria,Unclassified.Thermobispora,Unclassified.Thermobispora,Thermobispora,Thermobispora bispora
otu842,Eukaryota,Mollusca,Bivalvia,Ostreida,Ostreidae,Crassostrea,Unclassified.Crassostrea
otu843,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi
otu844,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
otu845,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hirschia,Hirschia baltica
otu846,Eukaryota,Streptophyta,Magnoliopsida,Poales,Poaceae,Triticum,Triticum turgidum
otu847,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium sp. PP1Y
otu848,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella pneumophila
otu849,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Clavibacter,Unclassified.Clavibacter
otu850,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,Unclassified.Haloterrigena
