otu_id,Kingdom,Phylum,Class,Order,Family,Genus,Species
otu3127,Eukaryota,Basidiomycota,Microbotryomycetes,Leucosporidiales,Leucosporidiaceae,Leucosporidium,Unclassified.Leucosporidium
otu3128,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Unclassified.Sphingopyxis
otu3129,Eukaryota,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Phialophora,Unclassified.Phialophora
otu3130,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces coelicolor
otu3131,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora krabiensis
otu3132,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Acidaminococcus,Unclassified.Acidaminococcus
otu3133,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces mexicanus
otu3134,Eukaryota,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria,Beauveria bassiana
otu3135,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Coriobacterium,Unclassified.Coriobacterium
otu3136,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,Microbacterium sp. CGR1
otu3137,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,Unclassified.Janthinobacterium
otu3138,Bacteria,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Oenococcus,Unclassified.Oenococcus
otu3139,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum rubrisubalbicans
otu3140,Eukaryota,Cnidaria,Unclassified.Cnidaria,Unclassified.Cnidaria,Unclassified.Cnidaria,Unclassified.Cnidaria,Unclassified.Cnidaria
otu3141,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,Unclassified.Tolumonas
otu3142,Bacteria,Unclassified.uncultured bacterium UPO43,Unclassified.uncultured bacterium UPO43,Unclassified.uncultured bacterium UPO43,Unclassified.uncultured bacterium UPO43,Unclassified.uncultured bacterium UPO43,Unclassified.uncultured bacterium UPO43
otu3143,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,Marinobacter salarius
otu3144,Eukaryota,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Thermothielavioides,Thermothielavioides terrestris
otu3145,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Rhodococcus sp. NS1
otu3146,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Dermabacteraceae,Brachybacterium,Brachybacterium faecium
otu3147,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Draconibacterium,Draconibacterium orientale
otu3148,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora chokoriensis
